"access","singles","doubles","triples","hrs","error","popout","flyout","lineout","groundout"
"middle_1_0",0.20796812749004,0.0649402390438247,0.00737051792828685,0.0591633466135458,0.0097609561752988,0.0735059760956175,0.201195219123506,0.0752988047808765,0.300796812749004
"middle_1_1",0.207393772050928,0.0639668660837552,0.00674950145727872,0.0418775885872066,0.00981745666513269,0.0690289921767142,0.191133609449302,0.0737843227488879,0.336247890780795
"middle_1_2",0.205479452054795,0.0617174841655619,0.00544999263514509,0.0341729267933422,0.0104580939755487,0.0665782884077184,0.18647812638091,0.0877890705553101,0.341876565031669
"middle_2_0",0.202036441586281,0.0648445873526259,0.007502679528403,0.0659163987138264,0.00803858520900321,0.0659163987138264,0.206859592711683,0.0814576634512326,0.297427652733119
"middle_2_1",0.213033953997809,0.0709200438116101,0.00328587075575027,0.0572289156626506,0.00930996714129244,0.0728368017524644,0.198795180722892,0.0810514786418401,0.293537787513691
"middle_2_2",0.197866586538462,0.0615985576923077,0.00450721153846154,0.0384615384615385,0.00871394230769231,0.0674579326923077,0.197115384615385,0.0851862980769231,0.339092548076923
"middle_3_0",0.180232558139535,0.0988372093023256,0,0.0755813953488372,0,0.0697674418604651,0.290697674418605,0.0523255813953488,0.232558139534884
"middle_3_1",0.180645161290323,0.0716129032258064,0.00580645161290323,0.0703225806451613,0.00709677419354839,0.08,0.234838709677419,0.0645161290322581,0.285161290322581
"middle_3_2",0.22585601404741,0.0678226514486392,0.00526777875329236,0.0524582967515364,0.00790166812993854,0.0708955223880597,0.195566286215979,0.0906496927129061,0.283582089552239
"power_0_0",0.21361104383628,0.061516105594575,0.00581254541051102,0.0600629692419472,0.00992976507628966,0.067328651005086,0.198595301525793,0.0668442722208767,0.316299346088641
"power_0_1",0.210526315789474,0.0697197539302803,0.00478468899521531,0.0423786739576213,0.0105946684894053,0.0690362269309638,0.195488721804511,0.0710868079289132,0.326384142173616
"power_0_2",0.20344387755102,0.0618622448979592,0.00446428571428571,0.0363520408163265,0.00892857142857143,0.0733418367346939,0.188137755102041,0.0854591836734694,0.338010204081633
"power_1_0",0.189748644652538,0.0680137999014293,0.00640709709216363,0.0635781172991621,0.00936421882700838,0.0719566288812223,0.206012814194184,0.0783637259733859,0.306554953178906
"power_1_1",0.199082919373328,0.069163163928162,0.00687810470003821,0.0557890714558655,0.0171952617500955,0.0718379824226213,0.198318685517768,0.0710737485670615,0.310661062285059
"power_1_2",0.210144927536232,0.0603864734299517,0.00644122383252818,0.0422705314009662,0.0112721417069243,0.0648148148148148,0.196859903381643,0.0897745571658615,0.318035426731079
"power_2_0",0.191549295774648,0.0788732394366197,0.00563380281690141,0.0859154929577465,0.00845070422535211,0.0690140845070423,0.197183098591549,0.0788732394366197,0.284507042253521
"power_2_1",0.206737120211361,0.0779392338177015,0.0059445178335535,0.0634081902245707,0.0112285336856011,0.0640686922060766,0.201453104359313,0.0739762219286658,0.295244385733157
"power_2_2",0.214754731556586,0.0648899188876014,0.00540749324063345,0.0525299343375821,0.0119737350328312,0.0706836616454229,0.178447276940904,0.0776361529548088,0.323677095403631
"power_3_0",0.141025641025641,0.102564102564103,0,0.141025641025641,0,0.102564102564103,0.230769230769231,0.0384615384615385,0.243589743589744
"power_3_1",0.192446043165468,0.0755395683453237,0.00179856115107914,0.0701438848920863,0.0107913669064748,0.0719424460431655,0.192446043165468,0.0665467625899281,0.318345323741007
"power_3_2",0.186746987951807,0.0761226725082147,0.00711938663745893,0.0646221248630887,0.011500547645126,0.0607886089813801,0.22289156626506,0.0772179627601314,0.292990142387733
